vaalipiiri,puolue,"Suomen pitää olla edelläkävijä ilmastonmuutoksen vastaisessa taistelussa, vaikka se aiheuttaisi suomalaisille kustannuksia.",Suomen ei pidä kiirehtiä kieltämään uusien bensa- ja dieselautojen myyntiä.,Valtion pitää ohjata suomalaiset syömään vähemmän lihaa esimerkiksi verotuksen avulla.,Metsiä hakataan Suomessa liikaa.,"Kun valtion menoja ja tuloja tasapainotetaan, se on tehtävä mieluummin menoja karsimalla kuin veroja kiristämällä.","Sosiaaliturvaa tulee kehittää niin, että osa nykyisistä tuista korvataan kaikille työikäisille maksettavalla, vastikkeettomalla perustulolla.",Euron ulkopuolella Suomi pärjäisi paremmin.,Sosiaali- ja terveyspalvelut on tuotettava ensisijaisesti julkisina palveluina.,Vanhustenhoidon ulkoistamista yksityisille toimijoille tulee lisätä.,Parantumattomasti sairaalla on oltava oikeus eutanasiaan.,Sukupuolen korjaamisen tulee olla mahdollista myös alle 18-vuotiaille.,Viinit ja vahvat oluet pitää saada ruokakauppoihin.,Energiajuomien myyminen alle 15-vuotiaille on kiellettävä. ,"Nuuskan, purutupakan ja nenänuuskan matkustajatuonnin raja lasketaan 1000 grammasta 100 grammaan vuorokaudessa.","Perhevapaita pitää uudistaa niin, että vapaat jakautuvat tasan vanhempien kesken.",Oppivelvollisuus pitää ulottaa myös ammatilliseen koulutukseen ja lukioon.,"Koulujen kesälomia tulee siirtää kahdella viikolla niin, että ne alkavat kesäkuun puolivälissä ja päättyvät elokuun lopulla.",Korkeakoulujen määrää pitää vähentää ja vapautuneet voimavarat käyttää huippuopetukseen ja -tutkimukseen.,Maahanmuuttajien määrän kasvu on lisännyt turvattomuutta Suomessa.,Sosiaali- ja terveyspalveluiden rahoittaminen vaatii työperäisen maahanmuuton merkittävää lisäämistä.,Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.,Vihapuhe tulee määritellä ja asettaa rangaistavaksi rikoslaissa.,Perinteiset arvot ovat hyvän elämän perusta.,Suomessa tarvitaan nyt koviakin keinoja järjestyksen ja tavallisten ihmisten puolustamiseksi.,"On oikein, että yhteiskunnassa jotkut ryhmät ovat paremmassa asemassa kuin toiset. ",Suomen lakien pitäisi nykyistä vapaammin antaa ihmisten tehdä omat ratkaisunsa ja kantaa niiden seuraukset.,Poliitikon velvollisuus on ennen kaikkea ajaa omien äänestäjiensä etuja.,"On olemassa pyhiä tai muuten yksilöä suurempia asioita, joita täytyy puolustaa silloinkin, kun se vaatii omien etujen uhraamista.","On oikein nähdä vaivaa sen eteen, ettei vahingossakaan loukkaa toista."
Uudenmaan vaalipiiri,Kokoomus,2,4,4,1,5,1,2,4,2,2,2,4,4,2,4,5,4,2,4,4,4,4,4,5,4,2,5,5,5
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,5,,4,5,1,4,5,5,1,2,5,4,2,2,5,4,4,1,1,2,1,4,1,1,1,1,4,5,5
Uudenmaan vaalipiiri,Perussuomalaiset,1,5,1,2,5,1,5,4,1,4,1,4,4,2,1,1,2,1,5,1,2,1,5,2,4,4,5,4,2
Uudenmaan vaalipiiri,Perussuomalaiset,1,5,1,1,1,1,5,2,2,5,1,5,5,2,1,4,,2,5,1,2,1,5,5,2,2,4,4,2
Uudenmaan vaalipiiri,Perussuomalaiset,1,5,1,2,5,1,5,5,1,5,1,4,5,4,2,1,4,1,5,1,1,1,5,5,4,4,5,5,2
Uudenmaan vaalipiiri,RKP,4,5,1,1,4,2,2,4,1,5,4,5,5,2,4,1,5,2,4,4,2,5,5,4,2,2,2,4,5
Uudenmaan vaalipiiri,RKP,1,4,1,1,4,4,1,5,1,2,1,2,5,2,2,4,2,1,4,2,2,4,4,5,2,2,2,5,4
Uudenmaan vaalipiiri,Seitsemän tähden liike,2,4,1,2,5,1,5,5,1,5,4,4,2,2,2,1,1,1,5,1,1,1,5,4,1,4,4,4,2
Uudenmaan vaalipiiri,Perussuomalaiset,2,5,2,2,4,2,4,4,2,2,1,2,4,4,2,2,2,2,5,2,2,2,4,4,2,2,4,4,4
Uudenmaan vaalipiiri,SDP,4,5,1,2,2,1,1,5,1,4,1,4,2,2,1,4,2,1,4,4,1,4,5,4,2,1,1,4,5
Uudenmaan vaalipiiri,Kansalaispuolue,1,5,1,1,2,5,5,5,1,5,1,5,4,2,2,5,2,2,5,1,1,2,5,4,1,4,5,5,2
Uudenmaan vaalipiiri,Perussuomalaiset,1,5,1,2,2,1,2,4,1,5,4,5,5,1,5,2,5,1,5,1,1,1,5,5,1,1,1,5,1
Uudenmaan vaalipiiri,Kommunistinen Työväenpuolue,5,1,5,5,4,5,5,5,1,5,4,2,4,4,4,2,,1,1,1,1,4,2,4,1,,2,5,4
Uudenmaan vaalipiiri,SDP,4,4,2,4,2,2,1,5,1,4,2,2,5,4,4,5,4,2,4,4,1,4,4,2,1,2,2,4,2
Uudenmaan vaalipiiri,Perussuomalaiset,1,5,1,1,5,1,5,1,5,5,1,5,1,1,1,1,4,2,5,1,4,1,4,5,4,5,1,5,2
